precinct;gender;nationality;category;num
5;Женский;Латыши;Неграмотные;0
5;Женский;Англичане;Неграмотные;0
5;Женский;Чуваши;Неграмотные;0
5;Женский;Зыряне;Неграмотные;0
5;Женский;Литвины;Неграмотные;1
5;Женский;Хивинцы;Неграмотные;1
6;Женский;Русские;Неграмотные;6386
6;Женский;Татары;Неграмотные;2203
6;Женский;Армяне;Неграмотные;7
6;Женский;Евреи;Неграмотные;31
6;Женский;Немцы;Неграмотные;67
6;Женский;Персы;Неграмотные;11
6;Женский;Поляки;Неграмотные;18
6;Женский;Туркмены;Неграмотные;67
6;Женский;Киргизы;Неграмотные;11
6;Женский;Калмыки;Неграмотные;0
6;Женский;Мордвины;Неграмотные;3
6;Женский;Финны;Неграмотные;1
6;Женский;Греки;Неграмотные;0
6;Женский;Шведы;Неграмотные;1
6;Женский;Грузины;Неграмотные;0
6;Женский;Белоруссы;Неграмотные;0
6;Женский;Французы;Неграмотные;0
6;Женский;Словаки;Неграмотные;0
6;Женский;Латыши;Неграмотные;0
6;Женский;Англичане;Неграмотные;0
6;Женский;Чуваши;Неграмотные;0
6;Женский;Зыряне;Неграмотные;0
6;Женский;Литвины;Неграмотные;1
6;Женский;Хивинцы;Неграмотные;0
4;Женский;Русские;Неграмотные;4829
4;Женский;Татары;Неграмотные;212
4;Женский;Армяне;Неграмотные;174
4;Женский;Евреи;Неграмотные;29
4;Женский;Немцы;Неграмотные;84
4;Женский;Персы;Неграмотные;1
